location,fault_severity,et,nbet,rt,nbrt,st,lf,nblf,svol,volmoy,volsd
l601,1,e11xe13,2,r6xr8,2,s1,f179xf345xf68,3,5,1.66666666666667,0.577350269189626
l460,0,e34xe35,2,r2,1,s2,f232xf312,2,17,8.5,3.53553390593274
l332,1,e34,1,r2,1,s2,f227xf232,2,2,1,0
l243,0,e34xe35,2,r2,1,s2,f229xf232xf234xf309xf312xf314,6,16,2.66666666666667,1.50554530541816
l418,0,e34xe35,2,r2,1,s2,f232xf312,2,2,1,0
l644,1,e42xe44,2,r2,1,s1,f283xf291xf368xf376,4,7,1.75,0.957427107756338
l79,0,e10xe11xe54,3,r2xr3xr8,3,s2,f39xf55,2,2,1,0
l257,0,e34xe35,2,r2,1,s2,f227xf232xf307xf312,4,6,1.5,0.577350269189626
l367,0,e35,1,r2,1,s4,f312,1,2,2,0
l238,0,e35,1,r2,1,s4,f312,1,1,1,0
l793,0,e11,1,r8,1,s1,f195xf73,2,5,2.5,0.707106781186548
l889,0,e11,1,r8,1,s2,f68,1,2,2,0
l505,0,e34xe35,2,r2,1,s2,f228xf229xf230xf231xf232xf233xf234xf236xf308xf309xf310xf311xf312xf313xf314xf316,16,627,39.1875,32.5314591331734
l457,0,e34xe35,2,r2,1,s2,f233xf235xf313xf315,4,35,8.75,2.87228132326901
l473,0,e34xe35,2,r2,1,s2,f233xf235xf313xf315,4,12,3,0.816496580927726
l468,0,e34xe35,2,r2,1,s2,f227xf232xf307xf312,4,10,2.5,1.91485421551268
l300,0,e34xe35,2,r2,1,s2,f227xf232xf233xf307xf312xf313,6,12,2,0.894427190999916
l451,0,e34xe35,2,r2,1,s2,f233xf313,2,56,28,0
l484,0,e34xe35,2,r2,1,s2,f230xf232xf235xf310xf312xf314xf315,7,30,4.28571428571429,3.63841933236058
l242,0,e20xe34xe35,3,r2,1,s1,f134xf219xf221xf229xf232xf234xf301xf309xf312xf314,10,297,29.7,37.6387802376456
l488,0,e34xe35,2,r2,1,s2,f228xf230xf232xf233xf235xf308xf310xf312xf313xf315,10,36,3.6,2.27058484879019
l471,0,e34xe35,2,r2,1,s2,f228xf229xf230xf232xf233xf234xf236xf308xf309xf310xf312xf313xf314xf316,14,264,18.8571428571429,15.8301423428031
l1075,1,e11xe15,2,r8,1,s1,f201xf80,2,4,2,1.4142135623731
