"","location","fault_severity","severity_type","n.event.types","n.features","max.vol","min.vol","n.resource_type","highest_feature","lowest_feature","sum_vol","sd_vol"
"1","location 601","1","severity_type 1",2,3,2,1,2,"feature 68","feature 179",5,0.577350269189626
"5","location 460","0","severity_type 2",2,2,11,6,1,"feature 312","feature 232",17,3.53553390593274
"6","location 332","1","severity_type 2",1,2,1,1,1,"feature 227","feature 227",2,0
"8","location 243","0","severity_type 2",2,6,5,1,1,"feature 309","feature 314",16,1.50554530541816
"13","location 418","0","severity_type 2",2,2,1,1,1,"feature 232","feature 232",2,0
"19","location 644","1","severity_type 1",2,4,3,1,1,"feature 368","feature 283",7,0.957427107756338
"20","location 79","0","severity_type 2",3,2,1,1,3,"feature 55","feature 55",2,0
"23","location 257","0","severity_type 2",2,4,2,1,1,"feature 232","feature 307",6,0.577350269189626
"24","location 367","0","severity_type 4",1,1,2,2,1,"feature 312","feature 312",2,NA
"26","location 238","0","severity_type 4",1,1,1,1,1,"feature 312","feature 312",1,NA
"27","location 793","0","severity_type 1",1,2,3,2,1,"feature 73","feature 195",5,0.707106781186548
"28","location 889","0","severity_type 2",1,1,2,2,1,"feature 68","feature 68",2,NA
"29","location 505","0","severity_type 2",2,16,98,3,1,"feature 232","feature 231",627,32.5314591331734
"31","location 457","0","severity_type 2",2,4,13,7,1,"feature 315","feature 313",35,2.87228132326901
"33","location 473","0","severity_type 2",2,4,4,2,1,"feature 315","feature 235",12,0.816496580927726
"38","location 468","0","severity_type 2",2,4,5,1,1,"feature 312","feature 307",10,1.91485421551268
"43","location 300","0","severity_type 2",2,6,3,1,1,"feature 232","feature 313",12,0.894427190999916
"44","location 451","0","severity_type 2",2,2,28,28,1,"feature 233","feature 233",56,0
"49","location 484","0","severity_type 2",2,7,10,1,1,"feature 312","feature 314",30,3.63841933236058
"53","location 242","0","severity_type 1",3,10,96,1,1,"feature 314","feature 221",297,37.6387802376456
"54","location 488","0","severity_type 2",2,10,8,2,1,"feature 312","feature 308",36,2.27058484879019
"55","location 471","0","severity_type 2",2,14,52,1,1,"feature 232","feature 310",264,15.8301423428031
"57","location 1075","1","severity_type 1",2,2,3,1,1,"feature 201","feature 80",4,1.4142135623731
"59","location 602","0","severity_type 1",1,2,2,2,1,"feature 171","feature 171",4,0
"60","location 931","0","severity_type 1",2,2,7,1,1,"feature 80","feature 82",8,4.24264068711928
"61","location 284","1","severity_type 2",1,2,1,1,1,"feature 227","feature 227",2,0
"64","location 921","0","severity_type 2",1,1,1,1,1,"feature 56","feature 56",1,NA
"67","location 821","0","severity_type 1",2,2,4,2,1,"feature 203","feature 82",6,1.4142135623731
"68","location 684","2","severity_type 2",1,4,74,1,1,"feature 82","feature 71",104,34.4383507154451
"69","location 875","1","severity_type 1",1,2,2,2,1,"feature 82","feature 82",4,0
"75","location 481","0","severity_type 2",2,4,24,20,1,"feature 230","feature 228",89,1.70782512765993
"79","location 8","0","severity_type 1",2,2,2,2,1,"feature 56","feature 56",4,0
"80","location 194","0","severity_type 2",1,1,3,3,1,"feature 68","feature 68",3,NA
